model,attack,severity,accuracy,macro_f1,weighted_f1
char_ngram_svm,dropout,0.05,0.9269736842105263,0.9268509738786083,0.9268509738786083
char_ngram_svm,dropout,0.1,0.9210526315789473,0.9209364791853427,0.9209364791853427
char_ngram_svm,dropout,0.2,0.9172368421052631,0.9170763522318848,0.9170763522318848
char_ngram_svm,typo,0.05,0.9246052631578947,0.9245005770299071,0.9245005770299071
char_ngram_svm,typo,0.1,0.925,0.9248838288501623,0.9248838288501624
char_ngram_svm,typo,0.2,0.9218421052631579,0.9217237797743026,0.9217237797743029
char_ngram_svm,vowel_mask,0.05,0.9248684210526316,0.9247482293604821,0.924748229360482
char_ngram_svm,vowel_mask,0.1,0.924078947368421,0.9239471684824361,0.9239471684824361
char_ngram_svm,vowel_mask,0.2,0.9169736842105263,0.9168609153763095,0.9168609153763095
transformer_distilbert,dropout,0.05,0.9453947368421053,0.9454012225137279,0.945401222513728
transformer_distilbert,dropout,0.1,0.9431578947368421,0.9431628564007762,0.9431628564007764
transformer_distilbert,dropout,0.2,0.9363157894736842,0.9362962005901926,0.9362962005901927
transformer_distilbert,typo,0.05,0.9476315789473684,0.9476472428491898,0.9476472428491898
transformer_distilbert,typo,0.1,0.9423684210526316,0.9424041043538286,0.9424041043538286
transformer_distilbert,typo,0.2,0.9373684210526316,0.9374175110306593,0.9374175110306594
transformer_distilbert,vowel_mask,0.05,0.9430263157894737,0.9430724344604728,0.9430724344604728
transformer_distilbert,vowel_mask,0.1,0.9398684210526316,0.9398532490654167,0.9398532490654167
transformer_distilbert,vowel_mask,0.2,0.9305263157894736,0.9306032292300672,0.9306032292300672
word_ngram_svm,dropout,0.05,0.9198684210526316,0.9196555503685585,0.9196555503685584
word_ngram_svm,dropout,0.1,0.9182894736842105,0.9181034054671832,0.9181034054671833
word_ngram_svm,dropout,0.2,0.9122368421052631,0.9120571544994643,0.9120571544994643
word_ngram_svm,typo,0.05,0.9225,0.9223171508795738,0.9223171508795738
word_ngram_svm,typo,0.1,0.9184210526315789,0.9182154199607687,0.9182154199607687
word_ngram_svm,typo,0.2,0.9127631578947368,0.9125521096520084,0.9125521096520084
word_ngram_svm,vowel_mask,0.05,0.9207894736842105,0.9205946104743509,0.9205946104743509
word_ngram_svm,vowel_mask,0.1,0.9181578947368421,0.918006395431878,0.918006395431878
word_ngram_svm,vowel_mask,0.2,0.910921052631579,0.910789904236075,0.910789904236075
